格调绮园 || 11.2平米 || 1830元/月
万科水晶城世奇园 || 187平米 || 16000元/月
金鹏里 || 60平米 || 1600元/月
万科水晶城揽星园 || 186.98平米 || 6000元/月
环球金融中心津门公寓 || 187.02平米 || 16000元/月
格调故里 || 132平米 || 7300元/月
夏阳溪韵 || 209.92平米 || 2000元/月
金融街融汇 || 78.84平米 || 3000元/月
晶采大厦 || 91.51平米 || 1500元/月
山海天家园 || 200.44平米 || 8200元/月
湛江路 || 58.57平米 || 1800元/月
天房美棠 || 97平米 || 3500元/月
云台花园 || 180平米 || 50000元/月
诚基经贸中心 || 148平米 || 5000元/月
中信·珺台碧和园 || 139.25平米 || 4200元/月
卫国道 || 39.56平米 || 1400元/月
光辉里 || 51.9平米 || 1800元/月
盛宇里 || 93平米 || 2200元/月
奕聪花园 || 272.71平米 || 15000元/月
韶山道 || 27.6平米 || 1000元/月
高洁里 || 20.25平米 || 1450元/月
鑫茂财智领地 || 89平米 || 4000元/月
保利罗兰公馆 || 137平米 || 2800元/月
瑞宁嘉园 || 79平米 || 2000元/月
恒大绿洲馨园 || 129平米 || 2000元/月
阳新里 || 27.96平米 || 1300元/月
湯臣津湾一品 || 142.74平米 || 12500元/月
华夏津典畅水园 || 129.39平米 || 5500元/月
美韵家园 || 131平米 || 5000元/月
博雅轩人才公寓 || 110平米 || 4300元/月
龙都花园 || 50.1平米 || 3000元/月
品水园 || 135.5平米 || 6200元/月
四达里 || 29.2平米 || 2800元/月
万科水晶城揽星园 || 137.97平米 || 7000元/月
远洋五矿旷世新城 || 81.24平米 || 1200元/月
合众大厦 || 185.93平米 || 8000元/月
天津全运村 || 144平米 || 4800元/月
金融街融汇 || 90平米 || 2500元/月
城市之光别馆公寓 || 51平米 || 2300元/月
观园公寓 || 42.59平米 || 2600元/月
海逸长洲瀚景园 || 340平米 || 20000元/月
奥城公寓 || 41.36平米 || 3200元/月
第六田园优仕庭园 || 116平米 || 4700元/月
傲景园 || 120平米 || 3800元/月
静安里(河西区) || 38平米 || 1800元/月
宁乐里 || 189.34平米 || 9000元/月
岷江西里 || 40平米 || 1200元/月
花园楼 || 10平米 || 800元/月
晨星园 || 97平米 || 2900元/月
保利金香槟 || 41.74平米 || 2700元/月
怡园小区 || 144平米 || 4000元/月
滨海智谛山 || 83平米 || 2500元/月
欣苑大厦 || 212平米 || 8000元/月
友谊楼 || 49.4平米 || 2100元/月
顺义南里 || 57平米 || 1200元/月
华润橡树湾 || 90平米 || 2200元/月
新会里 || 33.5平米 || 1500元/月
海益国际 || 55.93平米 || 2300元/月
爱丽家园东区 || 160平米 || 5000元/月
程林里 || 75平米 || 2200元/月
天房美棠 || 118平米 || 4000元/月
格调绮园 || 11.2平米 || 1830元/月
阳光壹佰北园 || 11.4平米 || 1590元/月
昌宁南里 || 15平米 || 1730元/月
益寿东里 || 15平米 || 1590元/月
格调绮园 || 9.4平米 || 1490元/月
荔红花园 || 10.4平米 || 960元/月
格调绮园 || 9平米 || 1490元/月
格调绮园 || 11平米 || 1660元/月
格调绮园 || 12平米 || 1590元/月
格调绮园 || 12.33平米 || 1590元/月
华亭国际 || 13.2平米 || 1330元/月
都市桃源 || 15平米 || 1090元/月
都市桃源 || 11.9平米 || 1060元/月
凌奥花园 || 16平米 || 1790元/月
都市桃源 || 12.5平米 || 1130元/月
利海家园 || 9.4平米 || 1490元/月
都市桃源 || 12平米 || 1060元/月
林西路 || 86.68平米 || 7500元/月
仰止坊 || 36.84平米 || 2600元/月
山西路 || 52.01平米 || 3000元/月
兴华公寓 || 110.01平米 || 3400元/月
弘丽园 || 51.18平米 || 2000元/月
新津国际 || 360平米 || 16000元/月
紫金山路 || 42平米 || 1200元/月
园丁公寓 || 39平米 || 1500元/月
红楼里 || 90平米 || 3200元/月
纪发公寓 || 115.66平米 || 3800元/月
三育里 || 120平米 || 4000元/月
新建村 || 45平米 || 2000元/月
静墅里 || 58平米 || 1700元/月
环球金融中心津塔公寓 || 58.94平米 || 3600元/月
金田花园 || 55.99平米 || 1900元/月
宝德里 || 32.18平米 || 1800元/月
康达尚郡 || 40平米 || 2300元/月
林苑北里 || 14.18平米 || 1000元/月
贵桥里 || 70平米 || 1600元/月
天房美域华庭 || 88平米 || 3300元/月
中海城市广场 || 143.55平米 || 10000元/月
河北路(和平区) || 45平米 || 2700元/月
静安里(河西区) || 47.18平米 || 1800元/月
新会里 || 11.76平米 || 800元/月
福建里 || 87.32平米 || 1800元/月
阳光壹佰西园 || 118.3平米 || 4500元/月
元兴新里 || 61平米 || 3000元/月
富顺里 || 54平米 || 1900元/月
惠康家园 || 79平米 || 3200元/月
万科紫台 || 90平米 || 3300元/月
凯盛家园 || 50.56平米 || 2100元/月
欣苑公寓 || 150平米 || 5300元/月
临池里 || 41.25平米 || 1600元/月
东惠家园 || 46.62平米 || 1700元/月
奉化道 || 52.37平米 || 2700元/月
大悦公寓 || 41.78平米 || 3000元/月
凤麟里 || 39.75平米 || 1700元/月
滨海智谛山 || 112平米 || 3400元/月
园荫里 || 53.58平米 || 2000元/月
东惠家园 || 68平米 || 2100元/月
大地十二城枫桥园 || 83.54平米 || 2300元/月
城市之星大厦 || 41.87平米 || 1800元/月
金研里 || 47平米 || 1700元/月
和睦西里 || 72平米 || 2600元/月
华亭里(河东区) || 60平米 || 2600元/月
郁园里 || 42.97平米 || 2300元/月
环卫楼 || 63.5平米 || 2000元/月
馨苑小区 || 85平米 || 2000元/月
安达里 || 54平米 || 1300元/月
美坪园 || 106平米 || 5500元/月
通鑫园 || 104.52平米 || 3000元/月
融汇北苑 || 90.4平米 || 4800元/月
天桂里 || 45.23平米 || 1600元/月
跃进楼 || 10.67平米 || 800元/月
天环里 || 27.28平米 || 1700元/月
滨翔花园 || 107.72平米 || 1500元/月
红磡领世郡尚景园 || 48.88平米 || 1200元/月
年德里 || 21.9平米 || 1550元/月
双峰道 || 36.2平米 || 4000元/月
红光家园 || 123.7平米 || 2200元/月
云广新里 || 44平米 || 1800元/月
博兰苑 || 141.94平米 || 4200元/月
世昌里 || 59.27平米 || 3600元/月
卫国道74号 || 75.62平米 || 2400元/月
博兰苑 || 124平米 || 4000元/月
爱国北里 || 27平米 || 1550元/月
天泉西里 || 38.77平米 || 1500元/月
万科民和巷 || 93平米 || 3200元/月
美宁公寓 || 45.33平米 || 2200元/月
福建里 || 40平米 || 1400元/月
奥城公寓 || 37.91平米 || 2200元/月
景园里 || 48.86平米 || 1800元/月
福园里 || 60平米 || 1700元/月
中海八里臺 || 38.5平米 || 3700元/月
揽城苑 || 80平米 || 2000元/月
米兰世纪花园 || 132.31平米 || 5500元/月
艺都花园 || 33.59平米 || 1800元/月
保利金融街诺丁山 || 90平米 || 2400元/月
芳水园 || 104.73平米 || 3900元/月
罗兰花园 || 262.86平米 || 12000元/月
程林里 || 59.79平米 || 2400元/月
奕聪花园 || 98平米 || 4900元/月
惠森花园 || 93.88平米 || 3200元/月
临池里 || 48.78平米 || 1800元/月
顺园公寓 || 90.42平米 || 2900元/月
心贻湾 || 88平米 || 2400元/月
阳光壹佰西园 || 148平米 || 4500元/月
淮祥园 || 84.54平米 || 2200元/月
滨湖大厦 || 205.51平米 || 12000元/月
滨湖大厦 || 172.89平米 || 7000元/月
世富嘉园 || 134平米 || 4500元/月
调富里 || 73平米 || 2400元/月
新华里(北辰区) || 48.67平米 || 1100元/月
屏花里 || 37.5平米 || 1200元/月
翡翠城 || 88平米 || 2200元/月
秋瑞家园 || 88平米 || 2300元/月
兴河里 || 42.88平米 || 2600元/月
城际美景家园 || 102.36平米 || 2300元/月
溪水河畔花园 || 92.59平米 || 3500元/月
河滨里 || 66平米 || 1800元/月
树德楼 || 29.3平米 || 1600元/月
凯德国贸 || 113平米 || 7500元/月
北安里 || 42.86平米 || 1400元/月
津淄东里 || 55平米 || 2700元/月
燕宇花园 || 71平米 || 1600元/月
卫津南路112号 || 42.5平米 || 2000元/月
仁爱濠景庄园天景园 || 109平米 || 5000元/月
民畅园 || 53平米 || 1800元/月
崇安里 || 38平米 || 1500元/月
富源里 || 42.68平米 || 1600元/月
育水佳苑D区 || 97平米 || 2200元/月
城市之光月光园 || 111.4平米 || 3500元/月
胜天里 || 31.91平米 || 1600元/月
金侨新梅江壹号 || 85平米 || 3600元/月
南华里 || 42平米 || 1600元/月
气象西里 || 90平米 || 4000元/月
滨河家园 || 109.73平米 || 3000元/月
云成里 || 56.95平米 || 2700元/月
万科城盛锦苑 || 104.36平米 || 2500元/月
宁福里 || 130.19平米 || 5300元/月
迎水南里 || 45平米 || 1550元/月
昆裕里 || 44.31平米 || 2000元/月
程林里 || 60平米 || 1500元/月
滨尚花园 || 87平米 || 2100元/月
广灵里 || 72.47平米 || 2300元/月
卡梅尔天淳园 || 170平米 || 6000元/月
花园路7号 || 15平米 || 1000元/月
福至里 || 32平米 || 1700元/月
天涛园 || 137平米 || 5500元/月
联盛大厦 || 60平米 || 1800元/月
华润橡树湾 || 94.02平米 || 2300元/月
同安北里 || 37.61平米 || 2200元/月
大众家园 || 85.69平米 || 1800元/月
朗月轩 || 90平米 || 2800元/月
卫华里 || 37.45平米 || 2500元/月
津塘公寓 || 60.53平米 || 2400元/月
卫安中里 || 41平米 || 2100元/月
月秋里 || 27.87平米 || 1500元/月
爱家星河花园 || 59.8平米 || 2600元/月
日华里 || 81.25平米 || 3500元/月
晨阳花园 || 100.72平米 || 2800元/月
宝翠花都听景园 || 99.7平米 || 3500元/月
元吉里 || 34.18平米 || 1700元/月
积善里 || 38平米 || 1600元/月
尚都家园 || 86平米 || 3500元/月
荣溪园 || 81.74平米 || 1500元/月
康桥里 || 44.13平米 || 1400元/月
奥林匹克花园玉兰苑 || 99.57平米 || 3400元/月
富力津门湖江湾广场 || 89.23平米 || 3800元/月
白云里 || 36平米 || 1900元/月
华江里 || 34平米 || 1200元/月
第六大道第博雅园 || 216平米 || 6200元/月
溪波里 || 64平米 || 2400元/月
瑞湾国际 || 76.63平米 || 2800元/月
松江城武台馨苑 || 84.21平米 || 2900元/月
华润紫阳里 || 67.04平米 || 3900元/月
佳园东里 || 57.74平米 || 1500元/月
新关公寓 || 89平米 || 3000元/月
新汇华庭 || 90.31平米 || 5500元/月
风顺公寓 || 142.45平米 || 3900元/月
望海楼北里 || 40.41平米 || 1800元/月
群富里 || 65.04平米 || 2800元/月
诚基经贸中心 || 59.47平米 || 2300元/月
久华里 || 80平米 || 3700元/月
华亭国际 || 122.18平米 || 2900元/月
教师村 || 40平米 || 1700元/月
新文化花园新典居 || 157.53平米 || 7000元/月
向荣里 || 37.22平米 || 1700元/月
富力津门湖景尚嘉郡 || 88平米 || 3900元/月
湯臣津湾一品 || 142.74平米 || 16000元/月
龙海公寓 || 48.47平米 || 2000元/月
香颂园 || 156平米 || 3500元/月
爱国里 || 42.64平米 || 2100元/月
红旗北里 || 40平米 || 3500元/月
长庚老年公寓 || 42.98平米 || 2000元/月
烟台道(塘沽区) || 51平米 || 1900元/月
爱丽家园东区 || 150平米 || 5000元/月
珠海里 || 37.07平米 || 2100元/月
永德街 || 44.81平米 || 1800元/月
紫玉园 || 136平米 || 4500元/月
龙凤里 || 30平米 || 2000元/月
双赢大厦 || 70平米 || 3500元/月
仁恒滨河湾 || 119平米 || 3000元/月
开源楼 || 29.75平米 || 1300元/月
招商钻石山 || 47平米 || 3800元/月
银行里 || 42平米 || 1900元/月
华亭国际 || 90平米 || 2600元/月
艺术公寓 || 47.51平米 || 2350元/月
远洋心里 || 95平米 || 2600元/月
昌源公寓 || 62.27平米 || 2500元/月
富达里 || 47.87平米 || 1500元/月
盈江西里 || 74.81平米 || 2600元/月
元谷花园 || 143.21平米 || 3500元/月
万科民和巷 || 92平米 || 2500元/月
爱家星河花园 || 92平米 || 3500元/月
金狮家园 || 48.75平米 || 2100元/月
丽景胜和园 || 87平米 || 1500元/月
天穆东里 || 55平米 || 1650元/月
通余里 || 97平米 || 4000元/月
假日风景花园 || 95.16平米 || 2300元/月
保山南里 || 19.52平米 || 850元/月
德庆里 || 45平米 || 1800元/月
华江里 || 38.06平米 || 1100元/月
三水南里 || 40平米 || 1500元/月
阳光壹佰东园 || 85.55平米 || 3000元/月
蔚蓝轩 || 78平米 || 3800元/月
前进新里 || 95.86平米 || 2000元/月
紫金山路 || 63平米 || 2500元/月
祥瑞家园 || 50平米 || 1750元/月
迎水南里 || 69平米 || 2700元/月
金湾花园 || 92.34平米 || 3200元/月
白云里 || 40平米 || 1600元/月
锋泛国际 || 51.47平米 || 2200元/月
滨慧花园 || 118平米 || 1900元/月
金侨新梅江壹号 || 85.45平米 || 3500元/月
城市之星大厦 || 42.59平米 || 1600元/月
富贵嘉园 || 87平米 || 2600元/月
靖江东里 || 75.9平米 || 2000元/月
远洋心里 || 80平米 || 2800元/月
梅宏园 || 58.8平米 || 1000元/月
临营东里 || 43平米 || 1300元/月
靖江南里 || 96.92平米 || 3500元/月
金福南里 || 44平米 || 1550元/月
海航YOHO || 75.08平米 || 3000元/月
华亭国际 || 88.91平米 || 2400元/月
奥城公寓 || 29.28平米 || 2000元/月
卫津路 || 34.32平米 || 2800元/月
友谊公寓 || 73平米 || 2500元/月
营口道10号 || 85平米 || 2500元/月
社会山Bigparty || 102平米 || 2500元/月
东瑞家园 || 46.05平米 || 1600元/月
桂江里(河西区) || 65.23平米 || 1600元/月
晋丰大厦 || 41.37平米 || 3000元/月
太阳城橙翠园 || 104.23平米 || 2800元/月
贻信康庭 || 94平米 || 2400元/月
和睦西里 || 72平米 || 2600元/月
华亭里(河东区) || 60平米 || 2600元/月
雅都天元居西区 || 146.3平米 || 5700元/月
汇仁云居 || 61平米 || 1900元/月
中宇里 || 30平米 || 1500元/月
宾水西里 || 38.06平米 || 1600元/月
龙海公寓 || 51.12平米 || 2000元/月
雅安东里 || 33平米 || 1500元/月
金狮家园 || 69.67平米 || 3000元/月
嘉畅园 || 79平米 || 2500元/月
林容里 || 110.56平米 || 3000元/月
D-House名爵匯 || 40.04平米 || 2600元/月
联合里 || 35.9平米 || 1900元/月
贺福里 || 61.25平米 || 1900元/月
同方花园 || 135平米 || 6200元/月
雪莲西里 || 91.33平米 || 2800元/月
集贤里(西青区) || 90平米 || 2100元/月
宇正园 || 143.08平米 || 4800元/月
科园公寓 || 45.71平米 || 1500元/月
宽福里 || 27.3平米 || 1300元/月
临渭佳园 || 53.71平米 || 2200元/月
和瑞园 || 70平米 || 2500元/月
益华里 || 140平米 || 1200元/月
俊城橡树原 || 158平米 || 8000元/月
诗景颂苑 || 95.5平米 || 3800元/月
东瑞家园 || 48平米 || 1800元/月
紫光苑 || 64.54平米 || 2900元/月
花港里 || 33平米 || 2000元/月
紫罗园 || 112平米 || 2500元/月
盈江东里 || 33.33平米 || 1800元/月
欢颜里(北辰区) || 60平米 || 1300元/月
海华里 || 34平米 || 1700元/月
凤城楼 || 53平米 || 2300元/月
居祥西里 || 87.9平米 || 2800元/月
昌源公寓 || 46.55平米 || 1200元/月
林古里 || 73.04平米 || 2000元/月
林苑北里 || 40.26平米 || 1800元/月
格调春天花园 || 123.71平米 || 6300元/月
中央公馆 || 78.94平米 || 3500元/月
朝园里 || 60平米 || 3200元/月
级升里 || 41.46平米 || 2200元/月
北宁湾-致远家园 || 88.4平米 || 3200元/月
东莱里 || 40平米 || 2500元/月
保利金融街诺丁山 || 93.03平米 || 2500元/月
格调竹境 || 96平米 || 3000元/月
雅安东里 || 44.37平米 || 2500元/月
吉林路(和平区) || 56.39平米 || 3500元/月
纯美公寓 || 97.8平米 || 3100元/月
惠禧温泉公寓 || 110.08平米 || 4000元/月
滨河家园 || 99.09平米 || 3000元/月
俊城浅水湾 || 95.62平米 || 3200元/月
融汇北苑 || 78.23平米 || 5200元/月
水畔花园 || 66.53平米 || 2700元/月
富力津门湖江湾广场 || 65.17平米 || 3000元/月
万通新城国际 || 118平米 || 3400元/月
宇萃里 || 41.79平米 || 1600元/月
景福里 || 28.04平米 || 1700元/月
康桥里 || 44.01平米 || 1400元/月
瑞丽园 || 94平米 || 3000元/月
科园公寓 || 90.88平米 || 2500元/月
中宇里 || 79.38平米 || 2700元/月
万科民和巷 || 92平米 || 2700元/月
阳光金地 || 45.97平米 || 2250元/月
天津华侨城 || 122.3平米 || 2100元/月
天达里 || 110平米 || 4500元/月
家福园 || 85平米 || 2200元/月
邮电公寓 || 68平米 || 3100元/月
盛华园 || 89.42平米 || 3400元/月
庆荣里 || 37平米 || 2200元/月
清枫园 || 90平米 || 2500元/月
航天北里 || 48.01平米 || 2200元/月
晋宁北里 || 18.52平米 || 1200元/月
波莹公寓 || 78平米 || 2700元/月
昆云里 || 38平米 || 1800元/月
鹤园南里 || 40.03平米 || 1800元/月
盛华园 || 83.2平米 || 2800元/月
清枫园 || 91平米 || 2500元/月
西湖里 || 18.26平米 || 1100元/月
佟卫里 || 60平米 || 2800元/月
水溪苑 || 199.63平米 || 6000元/月
芳云园 || 124.27平米 || 2600元/月
南头窑大楼 || 60.07平米 || 3300元/月
中粮大道 || 69平米 || 4200元/月
仁恒滨河湾 || 80平米 || 1800元/月
奕聪花园 || 142.18平米 || 6000元/月
修业里 || 57.99平米 || 2600元/月
紫云园 || 171.48平米 || 3500元/月
益鑫里 || 37.79平米 || 1400元/月
临营西里 || 28.49平米 || 1200元/月
长征楼(河东区) || 38.22平米 || 1200元/月
金禧园 || 72平米 || 2400元/月
金冠里 || 48.86平米 || 2000元/月
中海御湖翰苑 || 43平米 || 2300元/月
万春美钻时代 || 76.24平米 || 2800元/月
天鹅湖天湖园 || 330平米 || 19800元/月
金茂广场 || 61.28平米 || 2700元/月
凯德国贸 || 73平米 || 4800元/月
富力又一城 || 97.06平米 || 1800元/月
锋泛国际 || 87.68平米 || 2500元/月
万科民和巷 || 77.1平米 || 2000元/月
太阳城蓝山园 || 98.83平米 || 2900元/月
招商钻石山 || 57.58平米 || 4000元/月
星河香堤园 || 91平米 || 2400元/月
中环公寓 || 127平米 || 6300元/月
奥城公寓 || 37.7平米 || 2100元/月
光华公寓 || 101.2平米 || 2700元/月
中嘉花园绮水苑 || 123.96平米 || 3600元/月
芳景里 || 29平米 || 1500元/月
城市星座大厦 || 106平米 || 4700元/月
云丽园 || 87.7平米 || 1100元/月
昆仑中心 || 82平米 || 4000元/月
烟台道(塘沽区) || 81.4平米 || 2500元/月
宏城御溪园 || 105平米 || 3200元/月
金厦新都庄园澜溪园 || 160平米 || 5000元/月
居贤里 || 82.5平米 || 2900元/月
滨海智谛山 || 93.95平米 || 1300元/月
诚基经贸中心 || 60平米 || 2400元/月
碧海鸿庭 || 145平米 || 3300元/月
荣迁里 || 55平米 || 2200元/月
裕德里 || 48.21平米 || 2600元/月
松江置嘉公寓 || 88.5平米 || 5500元/月
东方楼 || 53.02平米 || 1400元/月
前程里(河西区) || 54.18平米 || 3600元/月
丁字沽十二段 || 81.34平米 || 1900元/月
名仕达花园 || 143平米 || 7200元/月
贻成泰和新都 || 104平米 || 2400元/月
第六田园优仕公寓 || 55.5平米 || 1900元/月
建新东里 || 84.94平米 || 2200元/月
东海岸家园 || 120.59平米 || 3200元/月
中海御湖翰苑 || 50平米 || 3300元/月
保利金香槟 || 64.48平米 || 4800元/月
城厢公馆 || 106平米 || 15000元/月
俊城橡树原 || 88平米 || 3500元/月
舒畅园 || 77.16平米 || 2300元/月
广林园 || 97平米 || 3300元/月
海河大观 || 52平米 || 2600元/月
和平里小区南区 || 117.98平米 || 1500元/月
阳新里 || 42.57平米 || 1600元/月
翠萍园 || 59.87平米 || 1700元/月
仁恒海河广场 || 51.65平米 || 4500元/月
朝晖里 || 58.35平米 || 2500元/月
滨河家园 || 80平米 || 2200元/月
贵桥里 || 50.75平米 || 1300元/月
前程里(河西区) || 31.58平米 || 3800元/月
贻欣园 || 121平米 || 4500元/月
华亭国际 || 86平米 || 2500元/月
华润橡树湾 || 75平米 || 1800元/月
日盈里 || 40平米 || 1500元/月
意境兰庭 || 94.15平米 || 2500元/月
益寿东里 || 87平米 || 2700元/月
睿品大厦 || 58平米 || 3500元/月
津尚花园 || 96平米 || 2000元/月
中粮大道 || 69.42平米 || 4500元/月
盈润园 || 80平米 || 2500元/月
环海公寓 || 85平米 || 4000元/月
富方园 || 79.94平米 || 2100元/月
大众家园 || 69平米 || 1700元/月
金谷园 || 53.39平米 || 1700元/月
观园公寓 || 58.01平米 || 2400元/月
紫金南里 || 44平米 || 2400元/月
阳光壹佰北园 || 109.96平米 || 3600元/月
友谊楼 || 39.73平米 || 1800元/月
爱丽家园东区 || 70平米 || 2800元/月
凤园北里 || 31.6平米 || 1500元/月
红云新里 || 56.21平米 || 1400元/月
雅安西里 || 35平米 || 1600元/月
卫安中里 || 36.14平米 || 2300元/月
远洋五矿旷世新城 || 81.24平米 || 1200元/月
盛世嘉园 || 89平米 || 2200元/月
福东里 || 48平米 || 1700元/月
湯臣津湾一品 || 142平米 || 12000元/月
诚基经贸中心 || 57.5平米 || 2000元/月
孚泰公寓 || 46.9平米 || 2200元/月
福至里 || 22.64平米 || 1350元/月
柳江南里 || 69.35平米 || 2400元/月
海河大观 || 134平米 || 8500元/月
新城家园 || 71平米 || 1600元/月
博兰苑 || 125.44平米 || 3800元/月
东舍宅 || 37平米 || 1700元/月
尚东雅园 || 94平米 || 3700元/月
和苑家园尊和园 || 86.36平米 || 1500元/月
包头道 || 54.25平米 || 3200元/月
景兴西里 || 37.08平米 || 1600元/月
卡梅尔天淳园 || 171.38平米 || 6000元/月
元山里 || 56.71平米 || 1800元/月
双街新家园 || 137平米 || 2600元/月
春华里 || 60平米 || 2500元/月
隆新里 || 41平米 || 2000元/月
乐达里 || 68平米 || 1200元/月
地华里 || 90.28平米 || 3600元/月
碧春园 || 50平米 || 1600元/月
首创溪堤郡 || 227平米 || 12500元/月
心之筑汇颐花园 || 72平米 || 2600元/月
锦江里 || 75.71平米 || 2000元/月
学湖里 || 67.55平米 || 2700元/月
华江里 || 50.39平米 || 1500元/月
富力津门湖江湾广场 || 105.94平米 || 3800元/月
森淼公寓 || 203.59平米 || 9500元/月
假日风景花园 || 143平米 || 3900元/月
万科四季花城 || 90.41平米 || 2500元/月
昆宏里 || 80.13平米 || 3000元/月
源润大厦 || 55平米 || 1800元/月
香水园 || 91.73平米 || 3200元/月
澳光大厦 || 147平米 || 6000元/月
气象西里 || 14平米 || 2500元/月
秀丽园 || 107.89平米 || 2300元/月
奥城公寓 || 29平米 || 2200元/月
万科金域蓝湾 || 100.29平米 || 4000元/月
佳怡公寓 || 69.03平米 || 3500元/月
川东里 || 68平米 || 2400元/月
明筑轩 || 134平米 || 6800元/月
宸宜花园 || 77.85平米 || 2000元/月
华江里 || 41平米 || 1500元/月
美丽心殿 || 124平米 || 3800元/月
金茂广场 || 61.3平米 || 2700元/月
十二经路13 || 56平米 || 2700元/月
唐山里 || 38平米 || 1300元/月
风荷园 || 104.63平米 || 13000元/月
景兴里 || 43平米 || 1600元/月
华育里 || 35平米 || 1800元/月
诚基经贸中心 || 49.97平米 || 2300元/月
汇和家园 || 155.55平米 || 6000元/月
奥林匹克花园玉兰苑 || 120平米 || 3600元/月
首创城 || 99平米 || 700元/月
五一阳光尊园 || 55.95平米 || 2800元/月
环盛里 || 92平米 || 2500元/月
建姜西里 || 43.95平米 || 1500元/月
水岸公馆天浦园 || 95.01平米 || 4000元/月
来安里 || 45平米 || 2200元/月
兴泰公寓 || 63.48平米 || 2600元/月
志和里 || 37.55平米 || 1200元/月
天泰花园 || 73.26平米 || 2700元/月
金淼园 || 96.08平米 || 2600元/月
谦益里 || 57.99平米 || 2300元/月
春光楼 || 69.51平米 || 2300元/月
奥城公寓 || 63.8平米 || 2600元/月
万东花园 || 133.24平米 || 4300元/月
罗兰新园 || 174.56平米 || 7000元/月
金德园 || 53.41平米 || 3500元/月
富锦华庭 || 85平米 || 2100元/月
南仓新苑 || 82平米 || 1800元/月
神州花园 || 104平米 || 3700元/月
新城家园 || 54平米 || 1700元/月
假日风景花园 || 136平米 || 5000元/月
华亭丽园 || 88平米 || 3100元/月
金隅满堂 || 91平米 || 3100元/月
日方里 || 36平米 || 1400元/月
万科水晶城皓石园 || 74.52平米 || 3200元/月
龙亭家园公寓 || 89平米 || 5500元/月
太阳城金旭园 || 96.26平米 || 2500元/月
金地格林世界梧桐苑B区 || 92.47平米 || 2800元/月
修业里 || 35平米 || 2000元/月
时代奥城 || 230.89平米 || 16000元/月
万科金奥国际 || 126平米 || 4300元/月
大生里 || 50平米 || 2400元/月
江南公寓 || 84.89平米 || 3800元/月
星河时代 || 120平米 || 2000元/月
罗兰新园 || 128平米 || 6800元/月
瑞德里 || 45平米 || 2200元/月
晨阳里 || 72.1平米 || 2000元/月
金福里(塘沽区) || 85平米 || 2000元/月
宜昌里 || 100平米 || 2800元/月
津涞花园 || 68平米 || 2000元/月
义兴里 || 37.46平米 || 1700元/月
象博豪庭 || 97平米 || 2200元/月
晋丰大厦 || 43.01平米 || 3000元/月
金厦新都庄园涵溪园 || 100.88平米 || 2600元/月
安达里(塘沽区) || 54平米 || 1200元/月
丹凤里 || 42.5平米 || 1300元/月
心贻湾 || 97平米 || 2500元/月
泉富家园 || 60平米 || 2000元/月
昆璞里 || 81.5平米 || 2700元/月
盈江西里 || 24.59平米 || 1450元/月
昆俞家园 || 96平米 || 2800元/月
佳宁里 || 60平米 || 1600元/月
环秀东里 || 23.7平米 || 1400元/月
滨翔花园 || 86.3平米 || 2000元/月
明华里 || 105.74平米 || 3500元/月
金侨宸公馆 || 88平米 || 2100元/月
迎风里 || 41平米 || 2200元/月
玉水园 || 93.85平米 || 3000元/月
侯台花园 || 38平米 || 1700元/月
锦绣园(河北区) || 108.5平米 || 3400元/月
天香水畔花园 || 117.56平米 || 5100元/月
丰乐里 || 60平米 || 2100元/月
华庆里 || 65平米 || 1850元/月
龙都花园 || 49.25平米 || 2600元/月
君临大厦 || 81.33平米 || 2800元/月
海汇名邸 || 66.29平米 || 4500元/月
宝龙城 || 112平米 || 1400元/月
湯臣津湾一品 || 115.15平米 || 7500元/月
三义大厦 || 53平米 || 2500元/月
晶品轩 || 91.32平米 || 4300元/月
欣荣馨苑 || 48.68平米 || 2100元/月
瑞通里 || 67平米 || 2000元/月
中裕园 || 101.6平米 || 4300元/月
环球金融中心津门公寓 || 177平米 || 10000元/月
馨苑小区 || 83平米 || 2200元/月
芳林泰达园 || 176平米 || 5500元/月
柏丽花园 || 78.59平米 || 3800元/月
澳光大厦 || 109.36平米 || 5000元/月
西湖里 || 55.9平米 || 2400元/月
金茂广场 || 58.89平米 || 2900元/月
裕德里 || 29.89平米 || 1900元/月
纳海嘉园 || 116平米 || 2600元/月
世纪梧桐公寓 || 121.04平米 || 4000元/月
万科水晶城皓石园 || 135.5平米 || 5500元/月
阅湖苑 || 81.69平米 || 1800元/月
景福里 || 63平米 || 2350元/月
海河大观 || 57平米 || 3400元/月
存诚里 || 34.44平米 || 1800元/月
照耀里 || 37.82平米 || 2600元/月
中裕园 || 47平米 || 2000元/月
月荣轩 || 90平米 || 3000元/月
金银里 || 100.03平米 || 2600元/月
惠安里 || 56平米 || 1800元/月
丁字沽七段 || 43平米 || 1400元/月
康达尚郡 || 40.72平米 || 2200元/月
翰雅园 || 140.62平米 || 4200元/月
艺苑里 || 43.11平米 || 1400元/月
雅致里 || 59.45平米 || 2100元/月
滨河新苑 || 76.44平米 || 2600元/月
阳光星期八昕旺北苑 || 97.66平米 || 3300元/月
融科瀚棠 || 92平米 || 4500元/月
卡梅尔天淳园 || 159平米 || 5500元/月
富山花园 || 154.82平米 || 4500元/月
民安里 || 35平米 || 1500元/月
弘景苑 || 125平米 || 4500元/月
红波里 || 41平米 || 1800元/月
忠贤里 || 31.14平米 || 1000元/月
